"";"Xdiff";"Vdiff";"ICC"
"946";1,8;2,6;0
"947";1,8;2,7;0,07
"948";1,8;2,8;0,04
"949";1,8;2,9;0,41
"950";1,8;3;0,23
"951";1,8;3,1;0,21
"952";1,8;3,2;0,31
"953";1,8;3,3;0
"954";1,8;3,4;0
"955";1,8;3,5;0,51
"956";1,8;3,6;0,4
"957";1,8;3,7;0,5
"958";1,8;3,8;0
"959";1,8;3,9;0,27
"960";1,8;4;0,07
"961";1,8;4,1;0,42
"962";1,8;4,2;0
"963";1,8;4,3;0
"964";1,8;4,4;0,47
"965";1,8;4,5;0
"966";1,8;4,6;0
"967";1,8;4,7;0,39
"968";1,8;4,8;0,32
"969";1,8;4,9;0,08
"970";1,8;5;0,26
"971";1,9;0;0,95
"972";1,9;0,1;0,87
"973";1,9;0,2;0,95
"974";1,9;0,3;0,88
"975";1,9;0,4;0,71
"976";1,9;0,5;0,68
"977";1,9;0,6;0,92
"978";1,9;0,7;0,67
"979";1,9;0,8;0,75
"980";1,9;0,9;0,35
"981";1,9;1;0,55
"982";1,9;1,1;0,85
"983";1,9;1,2;0,2
"984";1,9;1,3;0,34
"985";1,9;1,4;0,45
"986";1,9;1,5;0,8
"987";1,9;1,6;0,47
"988";1,9;1,7;0,29
"989";1,9;1,8;0,6
"990";1,9;1,9;0,68
"991";1,9;2;0
"992";1,9;2,1;0,14
"993";1,9;2,2;0,44
"994";1,9;2,3;0,34
"995";1,9;2,4;0
"996";1,9;2,5;0,23
"997";1,9;2,6;0,63
"998";1,9;2,7;0,08
"999";1,9;2,8;0,24
"1000";1,9;2,9;0
"1001";1,9;3;0
"1002";1,9;3,1;0,19
"1003";1,9;3,2;0
"1004";1,9;3,3;0,12
"1005";1,9;3,4;0
"1006";1,9;3,5;0
"1007";1,9;3,6;0,61
"1008";1,9;3,7;0
"1009";1,9;3,8;0
"1010";1,9;3,9;0
"1011";1,9;4;0
"1012";1,9;4,1;0
